Countries,Ons_code,Coll_yr,Rd_usr_type,10_mcg,49_mcg,79_mcg,99_mcg,149_mcg,199_mcg,200_mcg,Samp_knwn,10pm_over,4am_over
England and Wales,E92000001,2021,Other vehicle drivers or riders,69.76744,6.97674,2.32558,0.0,4.65116,2.32558,13.95349,43,85.71429,8.33333
England and Wales,E92000001,2021,Pedestrians,58.26087,4.34783,3.47826,0.86957,5.21739,7.82609,20.0,115,64.70588,20.98765
England and Wales,E92000001,2021,Pedal cyclists,88.63636,6.81818,2.27273,0.0,0.0,2.27273,0.0,44,0.0,2.38095
England and Wales,E92000001,2021,Motorcycle riders,80.82902,4.66321,1.03627,1.03627,4.14508,2.07254,6.21762,193,62.5,9.03955
England and Wales,E92000001,2021,Car drivers,62.96296,7.77778,1.11111,2.22222,10.37037,5.92593,9.62963,270,68.75,15.53398
England and Wales,E92000001,2021,Vehicle passengers,50.0,6.45161,11.29032,3.22581,14.51613,9.67742,4.83871,62,55.0,21.42857
Scotland,S92000003,2021,Other vehicle drivers or riders,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Scotland,S92000003,2021,Pedestrians,55.55556,5.55556,0.0,0.0,16.66667,5.55556,16.66667,18,57.14286,27.27273
Scotland,S92000003,2021,Pedal cyclists,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Scotland,S92000003,2021,Motorcycle riders,80.95238,4.7619,0.0,0.0,0.0,0.0,14.28571,21,66.66667,5.55556
Scotland,S92000003,2021,Car drivers,95.83333,0.0,0.0,4.16667,0.0,0.0,0.0,24,0.0,4.54545
Scotland,S92000003,2021,Vehicle passengers,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
England and Wales,E92000001,2020,Other vehicle drivers or riders,74.07407,11.11111,0.0,0.0,7.40741,0.0,7.40741,27,50.0,4.7619
England and Wales,E92000001,2020,Pedestrians,43.26923,10.57692,2.88462,0.0,6.73077,13.46154,23.07692,104,65.51724,34.66667
England and Wales,E92000001,2020,Pedal cyclists,80.4878,9.7561,0.0,0.0,0.0,4.87805,4.87805,41,66.66667,5.26316
England and Wales,E92000001,2020,Motorcycle riders,76.58228,12.02532,1.89873,0.63291,2.53165,2.53165,3.79747,158,55.55556,6.71141
England and Wales,E92000001,2020,Car drivers,60.18957,11.84834,3.31754,0.94787,5.6872,5.6872,12.32227,211,47.16981,17.08861
England and Wales,E92000001,2020,Vehicle passengers,51.92308,13.46154,3.84615,3.84615,9.61538,7.69231,9.61538,52,55.0,15.625
Scotland,S92000003,2020,Other vehicle drivers or riders,75.0,0.0,0.0,0.0,25.0,0.0,0.0,4,0.0,25.0
Scotland,S92000003,2020,Pedestrians,71.42857,0.0,0.0,0.0,0.0,0.0,28.57143,7,33.33333,25.0
Scotland,S92000003,2020,Pedal cyclists,50.0,50.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Scotland,S92000003,2020,Motorcycle riders,88.88889,11.11111,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0
Scotland,S92000003,2020,Car drivers,68.0,8.0,8.0,0.0,0.0,4.0,12.0,25,33.33333,6.25
